"ID"	"우선순위"	"유형"	"확인수준"	"수정위치"	"원문위치"	"문제"	"원문발췌"	"수정안_필요근거"	"보존할내용"	"im-not-ai규칙"
"MF-17"	"높음"	"수치·정의"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:318; experiments/model-selection.md:322; experiments/model-selection.md:663"	"EGR은 detail과 evidence_ids를 모두 채운 비율인데 회복값11/12·10/12는 A.1의 detail 있음11과 근거 있음10을 각각 가져온 것으로 보인다. 결합 비율이 두 개라는 설명과 맞지 않는다."	"코드 수정 후 11/12·10/12로 회복된 이력이 있다"	"「수정 후 detail이 있는 응답은11/12, 근거가 있는 응답은10/12였다」로 분리한다. EGR은 두 조건의 교집합을 원시 응답에서 세어 별도로 적는다. 단순히 두 주변 합계의 최솟값을 결합 비율로 확정하지 않는다."	"A.1의detail/근거 각 건수, 폴백 회복 이력, 기존 EGR 정의."	""
"MF-20"	"높음"	"수치·정의"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:347; experiments/model-selection.md:349; experiments/model-selection.md:362; experiments/model-selection.md:364; experiments/model-selection.md:366; experiments/model-selection.md:519; experiments/model-selection.md:561; experiments/model-selection.md:797; experiments/model-selection.md:825; experiments/model-selection.md:827; experiments/model-selection.md:870; experiments/model-selection.md:892"	"C4는PC3·PC4만 적지만 §3.3은합성SPC1·SPC2도 함께 판정한다고 한다. 뒤에서는PC3·PC8·SPC2를 극성쌍처럼 묶는데PC8 기대는unknown이며 문항상 행동 이행 여부다. 방향 오류와 극성쌍 실패가 합쳐진다."	"극성쌍(RM1) 통과 — 측정된 로컬 셀 중 유일 (A.7, PC3·PC8·SPC2 n=3 전부)"	"게이트C4가 네 문항 전부를 요구하는지 두 쌍별AND인지 러너로 확인해 정의를 일치시킨다. 「실제 기록 극성쌍PC3·PC4, 합성 기록 극성쌍SPC1·SPC2」를 고정 표기하고PC8은별도unknown 판정 사례로 남긴다. PCA가 방향만 평가하는지 근거ID도 포함하는지PC근거와 분리 정의한다."	"모든 문항ID·기대값·원표의O/X·n=3 결과."	""
"MF-24"	"높음"	"수치·정의"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:378; experiments/model-selection.md:403; experiments/model-selection.md:519; experiments/model-selection.md:533; experiments/model-selection.md:597; experiments/model-selection.md:705; experiments/model-selection.md:812; experiments/model-selection.md:837; experiments/model-selection.md:861; experiments/model-selection.md:881; experiments/model-selection.md:890; experiments/model-selection.md:921; experiments/model-selection.md:938"	"max(raw,6000)은 어떤 요청 시퀀스의 처리 간격 근사인지 정의되지 않았고 플레이어 요청 지연과 동일시된다. A.6은 후속 요청 약 7.7초, A.7은6초를 쓴다. C13은 evaluator p50×10으로 계산되어 밤 채점 전체 벽시계나 p95 측정이 아니다."	"`effective = max(raw, 60000/RPM)`"	"페이싱 코드의 기준 시각(요청 시작/완료), 동시성·대기열, 첫 호출/정상 상태를 확인하고 측정량을 정의한다. 현재 C13 값은 「evaluator p50×10의 유도 추정」으로 명시한다. 10건의 실측 전체 시간·p95와 분리하고, 온라인 벽시계 게이트가 필요하면 실제 페이싱을 포함해 재측정한다. 6초·7.7초 및60초를 임의로 하나로 바꾸지 않는다."	"raw 값·유도값·10RPM/6초·C11~C13 기준과 페이싱 제약."	""
"MF-30"	"높음"	"수치·정의"	"공개 문서 대조"	"정본"	"experiments/model-selection.md:663; experiments/model-selection.md:676; experiments/model-selection.md:678"	"0/12로 약 4시간 안정됐다는 서술과 같은 표의06:28·06:47 폴백1/12가 충돌한다. 표의 모든 후속 실행이0/12였던 것은 아니다."	"**`gemma3:12b`가 0/12로 약 4시간 안정된 뒤였다.**"	"「04:17 이후 9회 측정 중 7회는0/12, 06:28과06:47은 각 1/12였다. 마지막07:35 측정은0/12였고 Core의 Gemini 전환은08:05~08:09에 이뤄졌다」로 정정한다. 시간 경과의 인과나 연속 안정성으로 확대하지 않는다. 이는 관측 요약 정정이다."	"10회 표·모든 시각·폴백값·계약 수정 및 provider 전환 순서."	""
"MF-33"	"높음"	"주장 범위"	"공개 문서 대조"	"정본"	"experiments/model-selection.md:784; experiments/model-selection.md:810; experiments/model-selection.md:823; experiments/model-selection.md:833"	"thinking은 비용만 늘리고 품질 이득이 없다는 문장은 e4b PCA0.70→0.80이라는 같은 절 결과와 충돌한다. Gemini도 측정 통제 일치가 같았다는 것이 실서비스 품질 손실 없음을 보장하지 않는다."	"**RQ-C2 — thinking ON은 이 역할에서 비용만 늘린다.**"	"「이 advisor 스모크에서 ON 셀은 모두 C11 지연 게이트를 넘었다. 품질 변화는 모델별로 달랐다: e4b PCA는0.70→0.80, 12b는0.90→0.70, Gemini는1.00으로 같았다」로 정리한다. Gemini 운영 변경 제안은 「이번 통제 지표를 유지하면서 raw 지연이 짧았으므로 후속 확인이 필요하다」로 범위를 제한한다."	"모델별 ON/OFF 값·지연비5.3·폴백0.32·n=1 한계."	""
"MF-36"	"높음"	"주장 범위"	"공개 문서 대조"	"정본"	"experiments/model-selection.md:870; experiments/model-selection.md:877; experiments/model-selection.md:892; experiments/model-selection.md:921; experiments/model-selection.md:974"	"n=3에서 같은 판정이 나온 관측을 우연 배제·모델의 성질·오류가 발생하지 않음·결정적 판정으로 확장한다. 같은 문서의 통계적 유의성 미주장과 상충한다."	"우연이 아니라 모델의 성질이다."	"「이번 통제 문항의 n=3 반복에서 판정이 달라지지 않았다」로 한정한다. RM1은 「측정한 극성쌍에서는 이전 오류가 재현되지 않았다」, A.8은 「56케이스-셀 중 55개에서 반복 판정이 같았다」로 표현한다. 모델 일반 성질·오류 부재 주장을 좁히는 정정이므로 저자 확인한다."	"0/1 통과율·n=3·RM1 이력·56중 1 뒤집힘·통계 한계."	""
"MF-37"	"높음"	"수치·정의"	"공개 문서 대조"	"정본"	"experiments/model-selection.md:861; experiments/model-selection.md:881; experiments/model-selection.md:890"	"Gemini 품질 전 지표1위라고 하지만 PC근거는0.90으로 로컬1.00보다 낮고 LAR 등은 동률이다. 가장 빠르다는 말도 advisor p95에만 해당하며 evaluator는 e4b가 더 짧다."	"품질도 전 지표 1위인데"	"「Gemini는 advisor PCA1.00, 극성쌍 통과이며 advisor raw p95가4셀 중 가장 짧았다. PC근거는0.90이고 다른 역할의 지연·품질은 표와 같다」로 정정한다. 종합1위로 요약하지 않는다."	"모든 기존 품질/지연 수치·페이싱에 따른 탈락."	""
"MF-38"	"높음"	"주장 범위"	"공개 문서 대조"	"정본"	"experiments/model-selection.md:861; experiments/model-selection.md:894; experiments/model-selection.md:896"	"e4b가 기준선과 같은 품질을 싼 비용으로 낸다는 요약은 PCA0.70 일치만 쓰고 같은 표의 evaluator1.00→0.67을 빠뜨린다. 바로 앞 절은 이 하락 때문에12b 비열등을 부정한다."	"같은 품질을 훨씬 싸게 낸다."	"「e4b는 advisor PCA0.70과 극성쌍 실패가 기준선과 같았고, 이 실험의 evaluator 기대 일치는0.67로 기준선1.00보다 낮았다. 지연·상주량은 표와 같이 감소했다」로 역할별 장단점을 함께 쓴다. 44%·51%·47% 및 VRAM41%는 원값 계산과 맞으므로 유지한다."	"효율 감소율·VRAM 남은 비율·역할별 품질값·후속 통제 교체 한계."	""
"MF-41"	"높음"	"수치·정의"	"공개 문서 대조"	"정본"	"experiments/model-selection.md:938; experiments/model-selection.md:947; experiments/model-selection.md:966; experiments/model-selection.md:978"	"A.8은 기준선보다 높은 값을 낸 셀이12b라고 단수로 결론 내지만 표상 e4b0.48·Gemini0.50도 기준선0.36보다 높다. 12b는 그중 최고라는 말과 구분해야 한다."	"이 역할에서 기준선보다 높은 값을 낸 셀은 `gemma4:12b-N`이다."	"「실플레이14케이스에서는 세 후보 모두 기준선0.36보다 높았고, gemma4:12b-N이0.57로 가장 높았다」로 정정한다. 분자는 표에서 각각 15/42·24/42·20/42·21/42로 검산되지만 최종 원시 집계 확인 후 표에 n/N을 추가한다. A.7 다른 역할과 메모리·지연에 대한 비열등 판정은 별도로 유지한다."	"네 기대 일치율·14×3 분모·단일 케이스 뒤집힘·비열등 미선언."	""
"MF-42"	"높음"	"주장 범위"	"공개 문서 대조"	"정본"	"experiments/model-selection.md:947; experiments/model-selection.md:968; experiments/model-selection.md:970; experiments/model-selection.md:978"	"partial 기대5건×4셀×3반복에서 partial이0인 관측은 명확하지만 이를 어느 모델에도 프롬프트 정의가 작동하지 않는다는 단일 원인 결론으로 확장한다. 같은 제약 표는 기대값 경계의 논쟁 가능성을 인정한다."	"`EVALUATOR_VERDICT_SYSTEM`의 partial 정의가 어느 모델에게도 작동하지 않는다는 뜻이다"	"「이번 5개 partial 통제의60회 판정에서 partial은0회였다. 프롬프트 정의, 기대 판정 경계, 모델 해석 중 어디에서 불일치가 생겼는지는 추가 검토가 필요하다」로 원인 판정을 분리한다. 독립 검수 후 프롬프트 변경 전후를 동일 세트로 비교한다."	"5케이스·60판정·confirmed/none 방향·단일 저자 한계·정량화 후속 과제."	""
"OA-01"	"높음"	"수치·정의"	"공개 문서 대조"	"정본과 해설"	"index.md:6; index.md:81; statement.md:35; limitations.md:12; experiments/human-observations.md:5; experiments/human-observations.md:11"	"표본 표기가 7판·6판·N=5+·5건 이상으로 갈리고, 판수와 참가자 수가 섞인다."	"Exploratory · 사람 세션 7판"	"요약 표기를 “탐색적 관찰 · 기존 집계 6판(확정 5·유력 1), 후속 사례 1판 별도”로 맞춘다. limitations의 “참가자 수 (세션 5건 이상 수준)”는 참가자 수를 확인하기 전 “사람 플레이 세션이 적다”로 쓰고 이 구분을 붙인다. 고유 참가자 수는 별도 확인된 경우에만 쓴다."	"기존 6판과 후속 1판을 합산 분석하지 않음, 확정·유력 구분, 탐색적 지위"	""
"OA-02"	"높음"	"주장 범위"	"공개 문서 대조"	"정본"	"index.md:17; index.md:66; testbed.md:20; testbed.md:28; testbed.md:63; testbed.md:111; experiments/human-observations.md:25; experiments/human-observations.md:65; experiments/human-observations.md:143"	"설계상 기록 가능한 항목과 실제 집계·검증한 항목을 모두 측정 완료처럼 열거한다."	"질문 품질, 이해 변화, 부작용 인지를 event-level trace로 측정한다."	"측정 항목 표를 “규칙 선택 출처: 6판 20건 집계 / 게임 점수: 사례 제시 / 부작용 인지율: NOT RUN·측정 가능성 미해결 / Rationale 효과: 사전등록·미실행 / 질문 품질·이해도 변화: 정의·분석 상태 확인”로 나눈다. Abstract 앞 한국어 안내에도 이 상태를 붙이고 영문 자체의 주장 범위는 저자가 재확인한다. 로그 보유만으로 타당한 심리·행동 척도를 확보했다고 쓰지 않는다."	"수용 행동의 기록 성과, 미실행 및 측정기구 한계, 기존 영어 원문과 지표 이름"	""
"OA-05"	"높음"	"수치·정의"	"공개 문서 대조"	"정본과 해설"	"statement.md:35; experiments/human-observations.md:56; experiments/human-observations.md:60"	"70%의 분모와 AI 계열의 합산 기준이 제출문에 없어 참가자 비율로 오독할 수 있다."	"직접 작성 30%, N이 작은 탐색적 수치"	"“기존 6판에서 적용된 규칙 20건 중 AI 계열 14건(원숭이손 수락 6·추천 옵션 8, 70%), 직접 작성 6건(30%)이었다. 같은 판의 반복 선택이 포함된 탐색적 집계다”라고 분모·합산 기준을 붙인다. 확정 5판·유력 1판 및 기구 버전 혼재 경고도 링크로 바로 연결한다."	"14/20·6/20 수치, 세션과 독립 참가자의 구별, 작은 표본 유보"	""
"OA-06"	"높음"	"주장 범위"	"공개 문서 대조"	"정본"	"statement.md:13; https://arxiv.org/abs/2102.09692; https://arxiv.org/abs/1811.07901"	"분야 전체에 측정 방법이 없다는 단정에 선행연구 범위와 근거가 없다."	"거부하는지를 반복 가능한 조건에서 측정할 방법이 없습니다."	"주 검토자가 확인한 Buçinca et al.(2021)의 AI 오답 제안 과수용 비교실험(N=199)과 Lai & Tan(2019)의 모델 예측·설명 노출 실험은 일반적인 측정방법 부재 주장과 맞지 않는다. 조사한 연구 범위와 이 게임 환경의 구체적 공백을 인용하거나 저자 판단으로 “저희는 AI 제안의 수용과 거부를 반복 가능한 조건에서 기록할 실험환경을 만들고자 했습니다”로 동기를 한정한다. 이 확인은 같은 게임기구가 이미 존재한다는 증명이나 체계적 문헌리뷰가 아니다. 의미 불변 윤문이 아닌 주장 범위 조정이다."	"사람의 AI 제안 수용을 연구하려는 동기"	""
"OA-07"	"높음"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"statement.md:24; statement.md:42; statement.md:52"	"게임이 가장 빠른 검증 방법이라는 최상급은 하루 단위 실측 사례만으로 입증되지 않는다."	"게임은 AI를 가장 빠르게, 그리고 **사람을 포함해서** 검증하는 환경입니다."	"속도 비교를 유지하려면 대안 실험환경·동일 과제·시간 측정의 정의와 비교값을 제시한다. 없으면 제목을 “게임에서 모델과 사람의 선택을 함께 검증하다”, 결말을 “이 게임 환경에서 모델 교체를 하루 단위로 평가하고 사람의 선택도 관찰했습니다”로 저자 확인 후 조정한다. 자발적 반복·몰입도도 실제로 측정했는지 밝혀 설계 의도와 결과를 구분한다."	"하루 단위 모델 평가와 사람 관찰 성과"	""
"OA-10"	"높음"	"주장 범위"	"공개 문서 대조"	"정본"	"index.md:80; statement.md:48; testbed.md:93; limitations.md:41; lab-notes.md:47; experiments/model-selection.md:1394; experiments/model-selection.md:1529"	"외부 API 평가를 비열등 판정 완료로 뭉뚱그려 지연 게이트 미달과 미실행 축이 사라진다."	"**완료**: 같은 러너·게이트로 비열등 판정"	"“외부 API 평가 후 제출 조합 확정. 측정한 의미 품질 게이트는 통과했고 지연 게이트는 n=1·n=3에서 엇갈렸다. 남은 평가는 A.19에 별도 표기”로 결과와 채택 결정을 나눈다. 비열등은 사전 통과선에 따른 운영 판정임을 밝히고 통계적 비열등성 검정으로 읽히지 않게 한다. 현재 미실행 축 목록은 정본에서 확인해 링크한다."	"Sonnet 5·Haiku 4.5 채택 결정, 같은 평가 러너를 쓴 사실, 관찰 구성과 서빙 구성의 구분"	""
"OA-11"	"높음"	"수치·정의"	"추가 출처 확인 필요"	"정본"	"statement.md:45; testbed.md:90; lab-notes.md:43; lab-notes.md:80; experiments/model-selection.md:22; experiments/model-selection.md:67"	"로컬 NPC 교체 방향과 현재 구성의 날짜별 연결이 끊겨 있다."	"NPC `kanana` → `gemma4:12b` 교체"	"9/14 kanana 채택, 9/15 gemma4 교체 기록, 9/17 개발 kanana 구성 사이에 실제 복귀 결정·적용 시점·정책 버전을 확인한다. 확인 전 모델명을 추측해 통일하지 않는다. 과거 기록은 보존하고 현재 구성표에 기준 시점과 해당 결정의 링크를 둔다."	"모델 고유명사·각 날짜의 관측·채택 기록"	""
"OA-20"	"높음"	"주장 범위"	"공개 문서 대조"	"정본"	"limitations.md:16; limitations.md:30; prereg.md:5; experiments/human-observations.md:164"	"한계 페이지가 무작위 배정된 Rationale 조건을 이미 실행한 것처럼 서술한다."	"랜덤 배정된 Rationale 축 외에는"	"“현재 관찰에는 무작위 배정이 없어 인과 효과를 주장하지 않는다. 별도 사전등록한 Rationale A/B는 미실행이다”로 현재 결과를 먼저 명시한다. 학습효과 절에는 “현재 관찰의 후반 회차에는 반복 학습이 영향을 주었을 수 있다. 미실행 Rationale A/B에서도 회차 효과를 고려해야 한다”로 현재 관찰의 한계와 향후 실험의 고려사항을 모두 남긴다."	"인과 해석 제한과 반복 학습의 가능성, A/B 미실행"	""
"OA-21"	"높음"	"주장 범위"	"공개 문서 대조"	"정본"	"limitations.md:34; experiments/human-observations.md:72; experiments/human-observations.md:91"	"기구 수정 전후 세션을 합산하지 않는다는 완료형 선언과 기존 6판 합산표가 충돌한다."	"합산하지 않고 각 세션에 당시 기구 버전을 병기한다."	"“수정 전후 세션을 구분하는 것을 원칙으로 한다. 다만 기존 6판 집계에는 버전이 섞여 있어 경향 주장에 쓰지 않으며 버전별 분리는 후속 작업이다”로 현재 예외를 바로 설명한다. 실제로 병기된 버전이 없는 세션에는 확인 가능한 구성·커밋 표를 추가한다."	"기구 버전 분리 원칙, 기존 수치의 역사, 후속 사례 분리"	""
"OA-25"	"높음"	"구조"	"추가 출처 확인 필요"	"해설·화면"	"prereg.md:11; prereg.md:39; prereg.md:62; prereg.md:79"	"설계 고정 선언과 달리 배정·모집·표본·중단·제외·분석 계획의 세부사항이 이 공개 사전등록에 없다."	"예: `N = 24, exploratory result`."	"고정 원문 밖에 등록 버전·관련 원문 링크를 둔다. 현재 공개 범위에 빠진 목표 표본(24는 예시임), 참가자/세션 단위 배정, 배정 구현, 모집·제외·이탈 처리, 중단 규칙, 동시 실험 기구 버전, 이유 제시 외 동일 조건, 분석 단위·불확실성 보고 계획을 확인한다. 미정이면 완료된 설계라고 보충하지 말고 “공개된 설계의 미정 항목”으로 표시한다. 새로운 결정은 날짜와 변경 이유를 남긴 별도 등록으로 기록한다."	"사전등록 고정 원문·A/B 조건·NOT RUN, 새 설계는 별도 등록"	""
"OA-26"	"높음"	"구조"	"추가 출처 확인 필요"	"해설·화면"	"prereg.md:47; prereg.md:53; experiments/human-observations.md:60"	"주 결과의 분모와 보조 결과의 조작적 정의가 없어 시행 전에 무엇을 계산할지 재현할 수 없다."	"AI suggestion acceptance rate"	"고정 원문 밖의 방법 안내에서 원숭이손 제안 수락률인지 전체 규칙 중 AI 계열 출처 비율인지 등록된 정의를 확인한다. 사람·세션·제안 중 분석 단위, 반복 선택 처리, 무응답 분모, Understanding/side-effect/question hit의 채점·시점·분모를 원 등록 문서로 연결한다. 정의가 없다면 새 등록이 필요한 미정 사항이라고 쓰고 현행 14/20 또는 6/9를 임의로 A/B 결과 정의로 대입하지 않는다."	"기존 결과 이름·수치·프로토콜 원문"	""
"OA-29"	"높음"	"주장 범위"	"공개 문서 대조"	"해설·화면"	"prereg.md:92"	"극성 쌍 중 한쪽 실패만으로 모델이 질문 표면을 읽었다는 내부 원인을 확정한다."	"한쪽만 통과하면
모델이 기록이 아니라 질문 표면을 읽고 있다는 뜻이다."	"고정 문구는 보존하고 외부 주석에 “극성 쌍 실패는 이 통제 기준을 충족하지 못한 결과다. 질문 표면 의존은 가능한 해석이며 이 결과만으로 모델 내부 원인을 단정하지 않는다”를 붙인다. 원인 확정을 유지하려면 질문 표면·기록 교란을 분리한 추가 통제의 근거를 연결한다."	"극성 쌍을 함께 판정하는 통과 규칙, 고정 원문"	""
"OA-33"	"높음"	"수치·정의"	"연결된 원시 자료 대조"	"정본"	"lab-notes.md:17; lab-notes.md:20; experiments/model-selection.md:1706; docs/reviews/full-audit/raw-evidence.md:20; docs/reviews/full-audit/raw-evidence.md:30"	"검수 22문장 성능 바로 뒤의 n=3 반복이 같은 22문장 결과처럼 읽힌다."	"반복 n=3 적중률·오답 집합 완전 동일(결정론)."	"“별도로, 미검수 1차 골든 30문장에서는 3회 반복의 적중률·오답 집합이 같았다”라고 적는다. 검수 과정의 8문장 제외뿐 아니라 14·15번 의미 수정도 있었다는 사실을 상세 검수 기록에 연결한다."	"검수 22문장 수치, 초기 30문장 반복 결과를 서로 분리"	""
"OA-34"	"높음"	"주장 범위"	"연결된 원시 자료 대조"	"정본"	"lab-notes.md:23; experiments/model-selection.md:1689; experiments/model-selection.md:1690; experiments/model-selection.md:1699; docs/reviews/full-audit/raw-evidence.md:20"	"높은 순위 상관을 MRL 차원 절단에 손실이 없다는 뜻으로 해석하지만 적중률은 내려간다."	"0.90(MRL 절단 무해)"	"“Qwen 2560↔1536의 순위 상관은 τ=0.90이다. 다만 검수 22문장에서 top-1은 0.909에서 0.818로 내려갔다”로 상관과 적중률을 함께 쓴다. “무해”는 삭제하거나 어떤 지표에 한정한 말인지 별도 근거를 제시한다."	"τ=0.90, 22문장 정본의 0.909·0.818"	""
"OA-43"	"높음"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"experiments/human-observations.md:34"	"이벤트 간격 CV의 문턱을 사람과 자동의 일반적 특성으로 단정하며 휴리스틱 오분류 범위를 설명하지 않는다."	"사람은 생각하는 동안 간격이 불규칙하고(CV ≥ 1.5) 자동 실행은 균일하다(CV ≈ 1.0)."	"확인 전에는 “문서는 이벤트 간격 CV를 행동 분류의 보조 단서로 제시한다. CV≥1.5와 CV≈1.0이 실제 적용한 분류 문턱인지 관측 범위를 요약한 수치인지 추가 확인이 필요하다”로 쓴다. CV의 계산 이벤트·간격 제외·최소 이벤트 수·문턱 결정 시점·검증 표본을 출처로 연결한 뒤 적용 범위를 확정한다. 문서 대조와 자동 로그 제외보다 신원 판정 근거로 우선시키지 않는다."	"CV 수치·세 판별 축·미확정 5판 보류"	""
"OA-48"	"높음"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"experiments/human-observations.md:67"	"자유서술 md5 동일을 채점기 전체 입력 동일로 확장하고 점수 변화의 원인을 provider 비결정성으로 특정한다."	"temperature 0에서도 provider 비결정성이 남는다"	"제출문 외 회차·근거 탭·적용 규칙·프롬프트·모델·상태가 같은지 전체 채점 요청의 해시나 통제된 재생 결과로 확인한다. 확인 전에는 “자유서술이 같은 두 회차에서 점수가 달랐다. 다른 채점 입력과 provider 변동의 영향을 분리하지 못했으므로 행동 변화로 해석하지 않는다”로 원인을 유보한다."	"67.9→53.3, 동일 자유서술 관측, 행동 신호로 단정하지 않는 핵심 경고"	""
"OA-52"	"높음"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"experiments/human-observations.md:100; experiments/human-observations.md:107; index.md:66"	"밤의 추리 자유서술을 규칙 직접 작성과 연결해 C2의 선택 출처 증거로 제시한다."	"**AI 제안 거절과 직접
작성(초단문)이 event-level로 구분 기록됨**"	"해당 판의 원숭이손 거절 이벤트, 밤 추리 제출, 직접 규칙 작성/적용 이벤트를 분리 확인한다. 직접 규칙 작성이 없다면 “AI 제안 거절과 밤의 자유서술 제출을 구분해 기록했음을 확인했다”로 쓰고 규칙 직접 작성의 증거는 실제 rules.source=custom 사례를 연결한다. 개인 제출 원문을 추가 공개하지 않는다."	"거절·밤 제출 로그와 C2의 측정 목표"	""
"PR-01"	"높음"	"구조"	"공개 문서 대조"	"해설·화면"	"_data/reading.yml:41; _includes/research/figures/model-selection.html:1; _includes/research/figures/model-selection.html:16; experiments/model-selection.md:1536; experiments/model-selection.md:1766"	"모델 선정 페이지의 질문은 전체 AI 구성인데, 요약은 절차와 최근 임베딩 비교로 끝나 현재 Core/NPC 결정을 바로 찾을 수 없다. reading.yml의 “단계별로 통과시키며”라는 완료형 요약은 역할별 예외를 가릴 수 있다. 단계 그림 자체는 이미 절차임을 밝히고 있다."	"선정 과정과 최근 보조 모델 비교"	"맨 위에 문서상 최신 결정일·용도·Core·NPC·임베딩·검증 범위·근거 절을 담은 현재 구성표를 둔다. 9월 17일 제출 모델 결정과 9월 18일 보조 모델 결정을 연결하되 실제 배포 설정이라고 단정하지 않는다. reading.yml의 요약은 “단계별 평가 결과와 역할별 예외를 함께 검토해 구성을 정했습니다”로 범위를 드러낸다. 5단계 그림의 기존 절차 안내는 유지하고 각 후보의 통과·예외 근거 표를 연결한다. 상세 연대기는 그대로 남긴다."	"모든 과거 후보, 날짜별 변경, 역할별 예외 및 보조 모델 수치"	""
"PR-04"	"높음"	"수치·정의"	"연결된 원시 자료 대조"	"해설·화면"	"_includes/research/figures/model-selection.html:16; app:backend/scripts/run_rule_alternatives_eval.py:124; app:backend/scripts/run_rule_alternatives_eval.py:154"	"어간 겹침의 0ms를 모델 비호출의 결과로 설명하지만 실행 프로그램은 이 기준선도 시간을 재고 0.1ms 단위로 반올림한다. 측정값의 표시 정밀도와 실제 시간 0을 구분해야 한다."	"어간 겹침은 모델을 호출하지 않는 기준선이어서 시간이 0ms로 기록됐습니다."	"“어간 겹침은 외부 모델을 호출하지 않는 기준선입니다. 원시 결과의 지연 p50은 0.1ms 단위 반올림에서 0.0ms로 기록됐으며, 연산 시간이 정확히 0이라는 뜻은 아닙니다.”로 교체한다. 공개 수치 0은 보존하고 표시 정밀도를 각주에 명시한다."	"기준선 방식, 공개 0ms 값, 나머지 모델의 지연값"	""
"MD-01"	"보통"	"독해"	"공개 문서 대조"	"정본과 해설"	"experiments/model-selection.md:987; experiments/model-selection.md:992; experiments/model-selection.md:999; experiments/model-selection.md:1007; experiments/model-selection.md:1024; experiments/model-selection.md:1165; experiments/model-selection.md:1173; experiments/model-selection.md:1342; experiments/model-selection.md:1357; experiments/model-selection.md:1715; experiments/model-selection.md:1757"	"상주·축출·오프로드, 셀·콜·스냅샷, 스모크·Core/NPC/플레이어가 한꺼번에 등장한다. 표의 무축출은 매 콜 직후 관찰한 표본 구간에 한정되는데 독자는 동시 실행의 장시간 안정성으로 읽기 쉽다."	"**두 후보 모두 교대 구간에서 축출 없이 공존한다.**"	"해설층 첫 용례에 “상주는 모델을 GPU 메모리에 유지하는 상태, 축출은 다른 모델을 올리려고 내리는 일이다. 이 검사는 NPC와 Core를 번갈아 호출한 뒤 총 6개 스냅샷을 확인했다”를 둔다. Core/NPC는 서비스 역할, 플레이어는 테스트 입력 생성 역할, judge는 평가 역할로 구분한다. 결과 문장은 “교대 구간의 6스냅샷에서 두 모델의 동시 상주를 확인했다”로 범위를 명시한다."	"모델명·think 설정·교대 3라운드·6스냅샷·메모리값·측정의 단시간 한계"	""
"MD-02"	"보통"	"주장 범위"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1003"	"NPC 초기 축출 1건과 GPU 감소는 관측이지만 원인을 스케줄러 메모리 추정으로 돌리고 운영 영향을 1회·약 1초로 한정하는 것은 추가 추론이다. 재현 가능성 표현도 1건의 범위를 넘는다."	"운영 영향은 Core 교체 시점의 NPC 1회 재로드(~1초)로 제한적이지만"	"“이번 실행에서는 Core 초기 로드 뒤 NPC가 1회 재로드됐고 약 1초가 걸렸다. 스케줄러의 메모리 추정이 원인일 가능성은 있으나 확인하지 않았다. 다른 로드 순서·반복 실행에서의 영향은 미측정이다”로 관측과 추론을 나누거나, 로드 순서별 반복·스케줄러 로그 근거를 추가한다."	"초기 축출 1건·5,117→4,419 MiB·1,007ms·교대 게이트 통과"	""
"MD-03"	"보통"	"수치·정의"	"추가 출처 확인 필요"	"정본"	"experiments/model-selection.md:1031; experiments/model-selection.md:1036; experiments/model-selection.md:1044"	"Core 콜 14/15, 전체 서버 콜 17, attempts 17/19의 집계 단위가 달라 표를 가로로 합산할 수 없다. 역할별 목록의 non-NPC 합은 14여서 e4b Core 15가 재시도를 포함하는지 설명해야 한다."	"| **`gemma4:e4b-N`** | O | 0 | **0 / 17** | 15 | 17 (19) | 0자 | 35.6s | **통과** |"	"각 열을 “논리 호출 수 / 모델 실제 시도 수 / debug 누계” 등 실제 집계 정의로 명명하고, 15=14+advisor 재시도 1인지 러너에서 확인해 주석을 단다. 폴백 0/17과 재시도 2를 같은 분모로 섞지 않는다."	"기존 14·15·17·19·역할별 콜 수·폴백과 재생성 구분"	""
